CA	organ_age	Age_group
44.7	42.1	[42,45)
70.3	69.8	[69,72)
47.9	54	[45,48)
71.6	71	[69,72)
72.6	72.5	[72,75)
75.5	71.6	[75,78)
73	71.8	[72,75)
61.9	67	[60,63)
38	34.2	[36,39)
48.6	55.3	[48,51)
35.1	33.2	[33,36)
61.8	64.2	[60,63)
34.8	35.9	[33,36)
39	42.4	[39,42)
54.5	56.8	[54,57)
60	51.4	[60,63)
53.6	67	[51,54)
50.2	53.1	[48,51)
61.1	57.5	[60,63)
75.9	68.9	[75,78)
50.7	54.3	[48,51)
32.3	36.5	[30,33)
30.9	38.4	[30,33)
49.8	55.3	[48,51)
66.2	63.6	[66,69)
26.1	28	[24,27)
37.9	34	[36,39)
70.3	70.9	[69,72)
53.1	37.2	[51,54)
60.9	69.7	[60,63)
67.5	65	[66,69)
59.8	56.4	[57,60)
73.5	71.5	[72,75)
57.3	51.4	[57,60)
77.3	75.4	[75,78)
50.8	47	[48,51)
42.4	51.1	[42,45)
66.4	68.6	[66,69)
72.1	71.4	[72,75)
82.1	76.7	[81,84)
69.3	73.6	[69,72)
29.4	31	[27,30)
34.9	34.8	[33,36)
50.5	48.7	[48,51)
64.6	66.1	[63,66)
55.2	54.2	[54,57)
57.4	60.8	[57,60)
50.1	42.6	[48,51)
76.5	65.9	[75,78)
46.6	36	[45,48)
56.3	48.8	[54,57)
36	44.1	[36,39)
66.4	58	[66,69)
36	38.9	[36,39)
33.2	38	[33,36)
38.4	37.2	[36,39)
59.3	56.3	[57,60)
51.4	44.3	[51,54)
44.2	51.8	[42,45)
63.1	66.2	[63,66)
55.1	56.1	[54,57)
37.5	38.5	[36,39)
29.3	30.9	[27,30)
42.3	48.1	[42,45)
45.7	54.9	[45,48)
61.5	56.2	[60,63)
72.1	63.8	[72,75)
74.9	75.5	[72,75)
39.8	38.3	[39,42)
46	44.3	[45,48)
56.6	61.8	[54,57)
66.8	60.4	[66,69)
38.3	35	[36,39)
49	45.3	[48,51)
21.8	21	[21,24)
60.7	56	[60,63)
50.4	49.9	[48,51)
43.4	38.2	[42,45)
67.3	73.3	[66,69)
63.2	65.7	[63,66)
59	50.7	[57,60)
55.5	54.5	[54,57)
65.2	75.1	[63,66)
40.3	45.3	[39,42)
58.1	55.2	[57,60)
54.7	54.6	[54,57)
53.7	57.8	[51,54)
45.6	46.5	[45,48)
37.4	38.8	[36,39)
21.5	24.5	[21,24)
32.2	34.9	[30,33)
49.2	47.2	[48,51)
31.2	37.1	[30,33)
56	46	[54,57)
64.5	70.3	[63,66)
48	52.6	[48,51)
48.2	50.9	[48,51)
42.1	45.5	[42,45)
71.9	73.3	[69,72)
29.5	34.4	[27,30)
74.6	68.1	[72,75)
43.3	41.6	[42,45)
68.7	52.6	[66,69)
65.6	55.6	[63,66)
33.5	29.5	[33,36)
37.1	68.4	[36,39)
44.2	46.3	[42,45)
62.9	61.9	[60,63)
66.8	64.3	[66,69)
27.7	29	[27,30)
63.3	70.9	[63,66)
65.5	65.3	[63,66)
53.8	53.6	[51,54)
44.2	57.2	[42,45)
39.7	45.8	[39,42)
41.9	49.1	[39,42)
46.8	54.4	[45,48)
36.1	31.7	[36,39)
38.1	36.1	[36,39)
63.8	69	[63,66)
41.7	44.2	[39,42)
77.4	74.4	[75,78)
55.1	53.3	[54,57)
34.5	36	[33,36)
68.7	69.2	[66,69)
69.8	72.6	[69,72)
51.6	45.5	[51,54)
36.5	39.8	[36,39)
65	64.2	[63,66)
35	30.5	[33,36)
41.6	46.3	[39,42)
45.6	44.6	[45,48)
54.7	53.2	[54,57)
79.1	73.3	[78,81)
42.6	45.3	[42,45)
50.8	55.5	[48,51)
79.8	70	[78,81)
40.6	45	[39,42)
58.1	66.8	[57,60)
51.8	46.1	[51,54)
69.1	65.7	[69,72)
71.7	66.5	[69,72)
63.4	67.2	[63,66)
36.5	41.9	[36,39)
49.7	48.1	[48,51)
57.1	57.5	[57,60)
55.5	59.3	[54,57)
57.8	61.6	[57,60)
39.4	39	[39,42)
63.4	60.2	[63,66)
57.6	65.9	[57,60)
45.6	31	[45,48)
71.2	76.5	[69,72)
45.8	51.8	[45,48)
74	69.6	[72,75)
37.7	44	[36,39)
