CA	organ_age	Age_group
64.7	73.1	[63,66)
70.5	64.9	[69,72)
67.7	69.1	[66,69)
29	35.4	[27,30)
58	59.6	[57,60)
55.7	51.8	[54,57)
50.7	54.9	[48,51)
46.4	47	[45,48)
54.2	48.9	[54,57)
34.3	36.4	[33,36)
79.8	76.2	[78,81)
63	59.8	[63,66)
57.3	59.6	[57,60)
25.8	31.4	[24,27)
57.9	56.4	[57,60)
22.7	25.4	[21,24)
39.9	54.6	[39,42)
61.5	64.2	[60,63)
46.3	40.8	[45,48)
69.5	67.2	[69,72)
66.7	62.9	[66,69)
70.2	74.8	[69,72)
54.3	56.4	[54,57)
68.9	71	[66,69)
60.1	59.9	[60,63)
56.7	55.7	[54,57)
58.3	67.4	[57,60)
41.7	44.9	[39,42)
57.2	54.9	[57,60)
57.2	57.7	[57,60)
24.4	24.8	[24,27)
52.9	51.6	[51,54)
63	58.4	[63,66)
60.9	60.6	[60,63)
45.3	47.4	[45,48)
45.8	41.1	[45,48)
69.3	74.5	[69,72)
48.4	49.2	[48,51)
35.9	28.5	[33,36)
59.4	66	[57,60)
44.8	51.1	[42,45)
76.7	70.7	[75,78)
44.9	47.1	[42,45)
44.5	50.6	[42,45)
64.6	66.6	[63,66)
47.1	57.6	[45,48)
40.6	40.7	[39,42)
46.9	48.3	[45,48)
41.7	49	[39,42)
61.3	58.3	[60,63)
70.4	69.8	[69,72)
30.5	25.4	[30,33)
37.9	36.4	[36,39)
70.1	70	[69,72)
69.1	71.9	[69,72)
54.7	61.7	[54,57)
54.9	55.1	[54,57)
18.2	22.4	[18,21)
67	65.5	[66,69)
49.6	60.7	[48,51)
36.6	40.3	[36,39)
58.4	48.6	[57,60)
68.1	68.5	[66,69)
31.3	33.2	[30,33)
77.5	75.8	[75,78)
44.7	38.8	[42,45)
46	43.8	[45,48)
52.6	64.2	[51,54)
48.3	43.7	[48,51)
54.7	52.8	[54,57)
72.5	74.9	[72,75)
67.2	72.4	[66,69)
52.5	52.5	[51,54)
56.3	53	[54,57)
45.1	47.2	[45,48)
50.5	51.4	[48,51)
72.5	69.6	[72,75)
55.9	53.5	[54,57)
62.2	69.5	[60,63)
77.1	70.3	[75,78)
74.7	71.2	[72,75)
42.9	37.1	[42,45)
36.5	38.5	[36,39)
52.4	56.2	[51,54)
53	52.7	[51,54)
28.3	35	[27,30)
61.4	59.1	[60,63)
63.7	47.9	[63,66)
69.8	74.7	[69,72)
58.4	49	[57,60)
69.3	68.6	[69,72)
42.5	53.5	[42,45)
34.8	36.5	[33,36)
47.2	43.2	[45,48)
48.9	52.7	[48,51)
46.8	48.2	[45,48)
34.4	30	[33,36)
45.3	48.8	[45,48)
45.5	51.8	[45,48)
70.5	65.3	[69,72)
55.4	47.4	[54,57)
37.6	44.9	[36,39)
39.1	40.8	[39,42)
53.5	51.7	[51,54)
52.8	43.6	[51,54)
71.8	70.7	[69,72)
44.2	49.4	[42,45)
27.3	28.9	[27,30)
44.8	50.4	[42,45)
65	72.8	[63,66)
49	51.8	[48,51)
24.4	24.5	[24,27)
61.9	57.5	[60,63)
47.8	41.8	[45,48)
47	41.7	[45,48)
64.3	53.4	[63,66)
37.2	34.3	[36,39)
70.7	70.2	[69,72)
61.2	59.4	[60,63)
49.7	52.5	[48,51)
36.3	30.2	[36,39)
57.6	57.9	[57,60)
60.2	62.9	[60,63)
44.9	44.2	[42,45)
67.8	72.2	[66,69)
67.6	73.8	[66,69)
49.5	44.4	[48,51)
38.1	34.3	[36,39)
43.4	47.1	[42,45)
69.2	67.8	[69,72)
54.3	55.9	[54,57)
51.9	53.1	[51,54)
72.5	66.1	[72,75)
34.4	26.7	[33,36)
71.6	68.6	[69,72)
60	67.8	[60,63)
39.6	33.9	[39,42)
56.1	58.7	[54,57)
